"filename", "language", "Go", "XML", "Markdown", "comment", "blank", "total"
"f:\repos\IntelARK\README.md", "Markdown", 0, 0, 9, 0, 8, 17
"f:\repos\IntelARK\docs\metadata.md", "Markdown", 0, 0, 0, 0, 1, 1
"f:\repos\IntelARK\docs\public_mobile_data.md", "Markdown", 0, 0, 85, 0, 22, 107
"f:\repos\IntelARK\go.mod", "XML", 0, 2, 0, 0, 2, 4
"f:\repos\IntelARK\main.go", "Go", 13, 0, 0, 12, 4, 29
"f:\repos\IntelARK\odata\Association.go", "Go", 11, 0, 0, 0, 6, 17
"f:\repos\IntelARK\odata\Association\End.go", "Go", 8, 0, 0, 1, 5, 14
"f:\repos\IntelARK\odata\Association\ReferentialConstraint.go", "Go", 10, 0, 0, 0, 5, 15
"f:\repos\IntelARK\odata\Association\ReferentialConstraint\Dependent.go", "Go", 10, 0, 0, 0, 6, 16
"f:\repos\IntelARK\odata\Association\ReferentialConstraint\Principal.go", "Go", 10, 0, 0, 0, 6, 16
"f:\repos\IntelARK\odata\EntityContainer.go", "Go", 8, 0, 0, 0, 5, 13
"f:\repos\IntelARK\odata\EntitySet.go", "Go", 7, 0, 0, 0, 4, 11
"f:\repos\IntelARK\odata\EntityType.go", "Go", 54, 0, 0, 6, 8, 68
"f:\repos\IntelARK\odata\EntityType\Key.go", "Go", 9, 0, 0, 0, 5, 14
"f:\repos\IntelARK\odata\EntityType\NavigationProperty.go", "Go", 5, 0, 0, 1, 3, 9
"f:\repos\IntelARK\odata\EntityType\Property.go", "Go", 5, 0, 0, 1, 3, 9
"f:\repos\IntelARK\odata\PropertyRef\PropertyRef.go", "Go", 6, 0, 0, 0, 4, 10
"f:\repos\IntelARK\odata\Schema.go", "Go", 9, 0, 0, 1, 5, 15
"f:\repos\IntelARK\odata\edmx.go", "Go", 12, 0, 0, 0, 6, 18
"Total", "-", 177, 2, 94, 22, 108, 403